id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
898685,3 blocks from the St. Charles streetcar!,4796527,Jackson,,Central City,29.93694,-90.08212,Entire home/apt,114,1,548,2024-02-26,4.08,3,23,51,"22-RSTR-15749, 22-OSTR-17167"
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.961,-90.1195,Entire home/apt,71,1,503,2023-11-06,2.97,1,0,7,"22-RSTR-14107, 22-OSTR-14105"
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,Bywater,29.96153,-90.04364,Entire home/apt,150,3,299,2024-03-10,1.88,1,302,17,"21-RSTR-18609, 22-OSTR-20720"
74498,Maison Marais 1: Large Local Living,391462,Georgia,,St. Roch,29.96986,-90.05172,Entire home/apt,99,3,613,2024-02-17,3.87,3,200,38,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
79536,FeelAtHomeInNewOrleans-PrivateApt,428362,Miriam,,Seventh Ward,29.97803,-90.0745,Entire home/apt,93,4,710,2024-03-01,4.53,1,20,98,"21-RSTR-18550, 21-OSTR-18392"
79609,Moon Over Mazant - FIRST and FINEST in Bywater!,428909,Stephen,,St. Claude,29.96448,-90.03667,Private room,122,3,493,2024-02-25,3.12,1,275,36,"23-ISTR-02823, 23-OSTR-02823"
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,80,1,923,2024-02-25,5.84,2,94,49,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
84725,Historic UPTOWN NEW ORLEANS Resort,85132,Sanford,,Central City,29.93608,-90.07997,Private room,,30,5,2016-01-01,0.03,8,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
89173,Marginy BnoB by Frenchman!,486093,Virginia,,Marigny,29.96364,-90.0591,Entire home/apt,500,31,473,2024-01-01,3.04,2,245,12,"22-RSTR-04939, 21-OSTR-03993"
90806,Live Like a Local in Mid-City,485705,Tom,,Mid-City,29.97264,-90.09992,Entire home/apt,97,30,142,2023-06-29,0.94,1,308,1,
183207,"Frenchmen House ""Rose Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,80,1,866,2024-02-25,5.71,2,104,45,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
184478,Northside Bayou Quarters,884946,DJoseph,,Fillmore,30.01387,-90.08049,Private room,,30,2,2020-02-26,0.04,1,0,0,"19str-24335, 19-OSTR-1234"
204998,Hilaire Suite - 2 Bed 2.5 Bath near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.9678,-90.06675,Entire home/apt,95,30,207,2022-09-05,1.37,5,179,0,"19STR-26370, 19-OSTR-2637"
205008,Muse Suite- Near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,100,30,290,2022-11-01,1.91,5,179,0,"19STR-26373, 19-OSTR-2637"
228560,Boheme de Marigny - Historic Creole Cottage,1192986,Dayna,,Marigny,29.96524,-90.05901,Entire home/apt,425,2,119,2024-02-14,1.13,3,64,11,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
240258,Maison Marais 2,391462,Georgia,,St. Roch,29.96929,-90.05172,Entire home/apt,98,3,581,2024-02-21,3.85,3,256,21,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
259868,AUTHENTIC NEW ORLEANS HOME!!!!!!!,1363780,Deborah,,Treme - Lafitte,29.97307,-90.07671,Entire home/apt,176,30,142,2024-01-02,0.96,3,252,9,"19STR-25266, 21-OSTR-25266"
277071,Historic Irish Channel Corner Grocery - Charming!,1447895,Penny,,Irish Channel,29.92078,-90.0849,Private room,120,3,206,2023-07-06,1.39,1,42,4,"22-RSTR-15053, 22-OSTR-15054"
314233,Historic pied-à-terre on Esplanade,1182408,Lauren,,Marigny,29.96611,-90.06146,Entire home/apt,175,30,80,2020-03-18,0.54,1,365,0,
317793,"Algiers Point, New Orleans LA - Funky NOLA Digs",1631225,Seran,,Whitney,29.94995,-90.04538,Entire home/apt,80,30,13,2023-03-13,0.09,1,364,1,
345394,Stylish Home Walking Distance to French Quarter Free Bikes,1751871,Betsey,,Bywater,29.96376,-90.04536,Entire home/apt,179,2,559,2024-02-20,3.83,1,103,31,"20-ISTR-10332, 20-OSTR-10332"
373034,Little Gem,1695097,Connie,,Marigny,29.96739,-90.05899,Entire home/apt,143,3,421,2024-02-14,2.89,1,91,15,"22-RSTR-13055, 22-OSTR-13054"
405209,Historic Tremé Creole Cottage 3 bed/3 bath (A),2019341,Historic Getaways,,Treme - Lafitte,29.965829849243164,-90.06376647949219,Entire home/apt,314,3,169,2024-02-25,1.54,32,0,25,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
406652,Near bustling Magazine St w/BIKES!,2026099,Conor,,St. Thomas Dev,29.92302,-90.07285,Entire home/apt,170,3,179,2024-01-02,1.25,1,232,8,"23STR-08837, 23-OSTR-08837"
425692,Quiet place in the Marigny,447521,Krekel,,Marigny,29.965171813964844,-90.0541000366211,Entire home/apt,116,2,205,2024-03-03,1.42,2,16,42,"22-RSTR-07363, 22-OSTR-13445"
425878,Bayou St. John Cottage!!,1919429,Kristin,,Bayou St. John,29.975841522216797,-90.0870361328125,Entire home/apt,125,1,45,2022-11-19,0.37,1,324,0,"21-RSTR-12129, 23-OSTR-02575"
441125,Uptown home w/room to spread out!,2191889,Chris,,Audubon,29.93357,-90.11427,Entire home/apt,541,30,34,2020-03-16,0.24,2,210,0,19STR-83914
446478,"30 day minimum, long term rental only",2216025,Gregory,,French Quarter,29.96254,-90.06653,Entire home/apt,150,30,224,2017-06-11,1.60,1,364,0,
458029,Oak Street Hangout...,2277128,Bonny And Paul,,Leonidas,29.94844,-90.13186,Entire home/apt,99,30,88,2018-04-26,0.63,1,236,0,
